"Aerie continued adventuring after years after leaving <CHARNAME>'s company, often traveling with a larger group but sometimes striking out on her own to use her considerable power to fight against slavery in the Realms. Her compassion grew tainted by revenge, however, revenge for what had been taken from her when she was in chains and could never be restored. She might have lost herself to her vengeance entirely had fortune not smiled upon her. The tale goes that Aerie, filled with a righteous fury, destroyed a slaver enclave in the northern hills of Cormyr single-handedly. She was surprised to find a group of avariel elves that had been held captive there and quickly freed them, and was in turn invited to return to her long-lost home of Faenya-Dail. She learned much while she was there. Most importantly, she learned she was no longer truly one of avariel, and let go forever of the wings that she had lost. Faenya-Dail was no longer her home, and it was with mixed emotions that she bid it farewell. It is said that Aerie eventually became a high priestess in Understone, a gnomish village her mentor Quayle had sometimes spoken of. He had been her true family, and it was among his people that she finally found happiness and the family she had always longed for. It was also said that Aerie prayed for her old friend, <CHARNAME>, each night as the stars revealed themselves in the sky above. She sincerely hoped her friend had been fortunate enough to find the peace that she had... for without <CHARNAME>, it would never have been possible.","Aerie continuò a fare l’avventuriera per anni dopo avere lasciato la compagnia di <CHARNAME>, viaggiando con un gruppo più numeroso ma a volte proseguendo per conto suo al fine di impiegare il suo potere contro la schiavitù nei Reami. La sua compassione cominciò però ad essere minata dalla vendetta - vendetta per ciò che le era stato portato via mentre era in catene e che non avrebbe mai potuto esserle restituito. Si racconta che Aerie, invasata dalla furia della giustizia, abbia distrutto da sola un’enclave di schiavisti nelle colline a nord del Cormyr. Fu sorpresa nel trovare un gruppo di elfi avariel che erano stati imprigionati; li liberò subito e in cambio fu invitata a ritornare nella sua casa di Faenya-Dail che non vedeva da tanto tempo. Imparò molto durante la sua permanenza. Soprattutto, capì che non era più una vera avariel e rinunciò per sempre alle ali che aveva perso. Faenya-Dail non era più la sua casa e, con un miscuglio di emozioni, le disse addio. Si dice che Aerie divenne infine un’alta sacerdotessa ad Understone, un villaggio di gnomi di cui il suo mentore Quayle le aveva talvolta parlato. Quayle era stato la sua vera famiglia e tra il popolo di lui trovò finalmente la pace e la famiglia che aveva sempre desiderato. Si dice anche che Aerie pregasse per la sua vecchia amica <CHARNAME> ogni notte in cui le stelle apparivano nel cielo. Sperava sinceramente che la sua amica avesse avuto la fortuna di trovare la pace che lei aveva… perché senza <CHARNAME>, per lei non sarebbe mai stato possibile trovarla."
"And what of Imoen, the eternal child? She had been through much during her travels with <CHARNAME>, things that she would refuse to discuss later in life, but her spirit had never been broken. She parted ways from her companions to seek her own destiny, out from under the shadow of her <PRO_BROTHERSISTER>. She returned to Candlekeep for a short time, her formidable skill in magic granting her a greater appreciation for its tomes. Here she could remember simpler times with <CHARNAME> and Gorion, and feel glad that she had followed in her foster-father's footsteps. Though asked to remain, Imoen eventually decided that Candlekeep was much smaller than she remembered and left to pursue adventures abroad.
Many are the tales of the archmage that Imoen became. She wore many other names throughout her life, some mysterious and foreboding while others odd and quirky considering the power this great woman possessed. Anyone who had known Imoen in her youth would immediately recognize her despite any name, however... no amount of age or wisdom could disguise the mischievious twinkle in her eyes or the ready grin to greet a friend. She became the confidante of Khelben ""Blackstaff"" Arunson and was oft-associated with a tale involving the great Elminster, supposedly picking the sage's pocket one day and then leading him on a merry magical chase across Faerun for four months. The exact truth of the tale is unknown... though it's certainly not unlike Imoen to encourage an old codger to not be such a stick-in-the-mud, and her later friendship with Elminster is well-documented. Later tales say Imoen founded a thieves guild that operated all the way to Neverwinter, sparred with the Shadow Thieves and the Zhentarim and even duelled a dragon because (so the story goes) ""he was rude"". At times, Imoen was known to think back on her old friend, <CHARNAME>, and smile sadly... and then immediately be possessed with a wickedly funny thought that would propel her onto her next scheme. It seems that some people, thankfully, will never change.","E che ne è stato di Imoen, l'eterna bambina? Ne aveva passate tante durante i suoi viaggi con <CHARNAME>, cose di cui in seguito si sarebbe rifiutata di parlare, ma il suo spirito non venne mai meno. Si separò dai suoi compagni per cercare il proprio destino, fuori dall'ombra di sua sorella. Per un breve periodo ritornò a Candlekeep, dove la sua formidabile abilità nella magia le permise di apprezzare i tomi della biblioteca molto più che in passato. Qui poté ricordare i tempi spensierati con <CHARNAME> e Gorion e si sentì felice di avere seguito le orme del suo padre adottivo. Sebbene le avessero chiesto di rimanere, alla fine Imoen decise che Candlekeep era molto più piccola di come la ricordava e la lasciò per proseguire le sue avventure per i Reami.
Sono tante le storie sull'arcimaga che Imoen divenne. Nel corso della sua vita assunse molti nomi, alcuni misteriosi e profetici, altri bizzarri e ironici, considerato il potere che questa grande donna possedeva. Chiunque avesse conosciuto Imoen nella sua giovinezza l'avrebbe comunque riconosciuta subito a prescindere dal nome... Né il tempo né la saggezza avrebbero potuto mascherare lo scintillio malizioso nei suoi occhi o il pronto sorriso nel salutare un amico. Diventò la confidente di Khelben ""Bastone Nero"" Arunson e fu spesso associata ad una storia riguardante il grande Elminster, presumibilmente borseggiando le tasche del saggio e poi conducendolo in un'allegra caccia magica per Faerûn per quattro mesi. L'esatta verità della storia è sconosciuta... ma sarebbe proprio da Imoen l'incoraggiare un vecchio strambo a non fare tanto il difficile e la sua successiva amicizia con Elminster è ben documentata. Altre storie raccontano che Imoen fondò una gilda di ladri che operava su tutte le vie per Neverwinter, bisticciando con i Ladri delle Ombre e con gli Zhentarim, e che addirittura combatté da sola contro un drago perché (così dice la storia) ""era stato scortese"". A volte, Imoen fu scorta a ripensare alla sua vecchia amica, <CHARNAME>, e a sorridere tristemente... e subito dopo cadere in preda di un pensiero maliziosamente divertente che l'avrebbe spinta verso il suo prossimo progetto. Sembra che certe persone, fortunatamente, non cambino mai."
"Grabbed","Afferrata"
"I would expect no other response from a true <PRO_BROTHERSISTER> of mine. I know too well the thirst for death that comes with the taint of our sire. I have mastered it, but only barely... I pity those who are a slave to it.","Non mi aspetterei nessun'altra risposta da un mia vera sorella. Conosco fin troppo bene la brama di morte che deriva dalla corruzione di nostro padre. Io l'ho dominata, ma solo a stento... Compatisco quelli che ne sono schiavi."
"In the years following his resurrection by <CHARNAME>, Sarevok spent many years wandering throughout the Forgotten Realms, rarely spending much time in any single place. In Berdusk he is said to have routed an army of invading orcs, displaying such fearsome power and rage that terrified locals weren't sure whom to fear more... only to disappear quietly without expecting a reward. In Westgate he arrived as conqueror, brutally enforcing his will over the city only to mysteriously vanish months later, leaving his own startled men to the mercies of the angry mobs. He acted like a man that did not know himself, and all the stories agreed that Sarevok was a tortured soul, balanced between life and death, never to achieve either. Those who knew Sarevok best, which were few, said that the tormented warrior would in turn curse the fabled <CHARNAME> for giving him his second chance... and then thank <PRO_HIMHER>. Eventually he disappeared entirely from the Realms, said to have assaulted the Abyss itself or even taken his own life. In truth, he journeyed to Kara-Tur to bury his one true love, the warrior Tamoko. He never returned, though the stories endure.","Negli anni successivi alla sua resurrezione da parte di <CHARNAME>, Sarevok trascorse molto tempo viaggiando per i Reami Dimenticati, rimanendo raramente a lungo in un solo posto. Si dice che a Berdusk respinse un'armata di orchi invasori, mostrando uno spaventoso potere e una furia tale che i terrorizzati abitanti del posto non sapevano chi temere di più... solo per scomparire nel silenzio senza pretendere una ricompensa. A Westgate giunse come un conquistatore, imponendo brutalmente il suo volere sulla città per poi scomparire misteriosamente mesi dopo, lasciando i suoi stessi uomini sbigottiti alla mercé della folla infuriata. Agiva come un uomo che non conoscesse se stesso e tutti i racconti concordano sul fatto che fosse un'anima tormentata, in bilico tra la vita e la morte, senza mai raggiungerne una. Coloro che lo conoscevano bene, cioè pochi, affermano che il tormentato guerriero a volte maledisse la leggendaria <CHARNAME> per avergli dato una seconda occasione... e che a volte la ringraziasse. Alla fine, scomparse del tutto dai Reami. Si dice che si fosse lanciato all'assalto dello stesso Abisso o che si fosse tolto la vita. In realtà, viaggiò per Kara-Tur per seppellire il suo unico vero amore, la guerriera Tamoko. Non tornò mai più, sebbene le storie su di lui persistano."
"Irenicus, I believe you called him. So easily culled as my own, since you abandoned him here recently... and such a valuable source of information on you, <CHARNAME>. After all... I believe you did share a soul, once, no? Say hello to the dear <PRO_MANWOMAN>, Irenicus.","Irenicus, credo lo chiamassi. Si è unito così facilmente alla mia causa dopo che lo hai abbandonato qui di recente... e che preziosa fonte di informazioni su di te, <CHARNAME>. Dopotutto... credo che abbiate condiviso un'anima una volta, no? Saluta questa cara donna, Irenicus."
"New power gained: ""Control Demon""

This ability allows the Bhaalspawn to attempt to wrest control of a demon away from Melissan and make them an ally. The Bhaalspawn engages the demon in mental combat for 1 round, at the end of which the demon has a chance of becoming an ally. The demon is not under the Bhaalspawn's direct control, however. This ability may be used once every 3 rounds.

New power gained: ""Dimension Door""

The Bhaalspawn may now move freely through space and the planes. This teleportation power is useable once per round.","Ottenuto Nuovo Potere: ""Controllare Demone""

Questa abilità permette alla progenie di Bhaal di tentare di strappare il controllo di un demone a Melissan e di renderlo un alleato. La figlia di Bhaal ingaggia una battaglia mentale con il demone per 1 round, alla fine del quale il demone può diventare un alleato. Il demone non è tuttavia sotto il controllo diretto della progenie di Bhaal. Questa abilità può essere utilizzata una volta ogni 3 round.

Ottenuto Nuovo Potere: ""Porta Dimensionale""

La progenie di Bhaal può ora muoversi liberamente attraverso lo spazio e i piani. Questo potere di teletrasporto è utilizzabile una volta per round."
"New power gained: ""Unleash""

The ""Unleash"" ability releases your inner power upon a target that is within melee range, hitting them for 10d12 magic damage (half on a successful save vs. Death) and sending them flying back and perhaps unconscious for a short period. This ability may only be used once ever thirty seconds... and after using it the Bhaalspawn will be incredibly fatigued and have a 25% miscast chance on all spells for 2 rounds. Due to the amount of divine essence used, the Slayer form will also not be available for thirty seconds.","Ottenuto Nuovo Potere: ""Scatenare il Potere""

L'abilità ""Scatenare il Potere"" rilascia la tua forza interiore su un bersaglio a portata di combattimento da mischia, colpendolo per 10d12 punti di danno da magia (dimezzato se effettua con successo un tiro-salvezza contro Morte), facendolo volare via e rendendolo forse inconsapevole per un breve periodo di tempo. Questa abilità può essere attivata una volta ogni trenta secondi. Dopo averla utilizzata, la progenie di Bhaal sarà incredibilmente affaticata e avrà il 25% di possibilità di fallire il lancio di qualsiasi incantesimo per 2 round. A causa della quantità di essenza divina usata, la forma dell'Uccisore non sarà disponibile per trenta secondi.
"
"Oh, please. I saw you coming from a mile away. I just played along because I had no choice.","Oh, per favore. Ho capito subito il tuo inganno. Sono solo stata al gioco perché non avevo scelta."
"So you managed to corral Balthazar into co-operating with you? I'm surprised. In the end, however, the essence of one or two of Bhaal's get means very little.","Quindi sei riuscita a spingere Balthazar a collaborare con te? Sono sorpresa. Alla fine, comunque, l'essenza di uno o due figli di Bhaal conta davvero poco."
