"Oh Child of Bhaal, so serious and grim! Do you not enjoy that our paths have crossed again? Does your blood not rejoice?","¡Oh Hija de Bhaal, tan seria y siniestra! ¿No disfrutáis de que nuestros caminos se hayan vuelto a cruzar? ¿No se alegra vuestra sangre?"
"And so you take the road less traveled, <CHARNAME>. I cannot say I envy you. I hope the power brings you what you expect and desire, my friend. When I look up at the heavens and see the brightest star in the sky, I shall think of you and offer a prayer.","Así que tomáis el camino menos transitado, <CHARNAME>. No puedo decir que os envidie. Espero que el poder os traiga lo que ansiáis, amiga mía. Cuando mire el cielo y vea la estrella más brillante, pensaré en vos y rezaré una plegaria."
"Oh Child of Bhaal, such a game you play. I fight with my 'dear' brother for your soul, yet you would offer it willingly? Promise me a piece of your essence and I will join you... for now.","Oh Hija de Bhaal, ¿a qué estáis jugando?  Lucho con mi 'querido' hermano por vuestra alma, ¿y sin embargo la ofreceríais voluntariamente? Prométedme una porción de vuestra esencia y me uniré a vos... por el momento."
"I am your <PRO_BROTHERSISTER>, Balthazar. Let us fight what is inevitable! We can work together!","Soy vuestra hermana, Balthazar. ¡Luchemos contra lo inevitable! ¡Podemos trabajar juntos!"
"You sound like Yaga-Shura, a giant in ego as well as body. Yet he fell, too, when his fate came due. The power of your blood may yet make you victorious, it is true, but the fact that you embrace the taint within you makes my own path that much the clearer.","Habláis como Yaga-Shura, un gigante en cuerpo y en ego. Pero aun así él también cayó, cuando su destino le alcanzó. El poder de vuestra sangre puede que os haga salir victoriosa, es cierto, pero el hecho de que abracéis la mancha que hay en vos hace que mi camino esté mucho más claro."
"And so it is done. I believe you have made the right choice. I look forward to meeting you again on Faerûn, <CHARNAME>...as a mortal and a true <PRO_BROTHERSISTER>.","Ya está hecho. Creo que habéis tomado la decisión correcta. Espero que nos encontremos de nuevo en Faerun, <CHARNAME>... como mortal y verdadera hermana."
"I cannot pretend to know what you are thinking, now, of the decision you must make. Nor do I pretend to certainty that the taint would bring such a <PRO_MANWOMAN> such as yourself towards evil. Perhaps you would overcome that taint and be a good god, I cannot say.","No puedo pretender saber lo que estáis pensando ahora, de la decisión que debéis hacer. Ni puedo pretender saber si la mancha conduciría a una mujer como vos hacia el mal. Tal vez superaríais esa lacra y seríais un buen dios, no lo sé."
"And so it is done. I believe you have made the right choice. I look forward to meeting you again on Faerun, <CHARNAME>...as a mortal and a true <PRO_BROTHERSISTER>.","Ya está hecho. Creo que habéis tomado la decisión correcta. Espero que nos encontremos de nuevo en Faerun, <CHARNAME>... como mortal y verdadera hermana."
"You mistake the path for the journey, my friend. Whatever paths you have taken since leaving Candlekeep, the journey has ended here as it was always meant to. Destiny masters us... we do not master it.","Os confundís de camino para el viaje, amiga mía. Sean cuales sean los caminos que habéis tomado desde que abandonásteis Candelero, el viaje ha terminado aquí, como estaba escrito. El destino nos controla... no lo controlamos nosotros."
"But perhaps I have resigned myself to a path that is not what it seems. You are... hardly what I expected for the last of the Bhaalspawn, <CHARNAME>. Perhaps there is hope... or perhaps I am only deluding myself.","Pero quizás me he resignado a un camino que no es lo que parece. Vos... no sois lo que esperaba como la última de los Engendros de Bhaal, <CHARNAME>.  Tal vez haya esperanza... o tal vez sólo me esté engañando a mi mismo."
"It is true. You are a good <PRO_MANWOMAN>, <CHARNAME>, and your stance against evil is without question. Your fight against the taint of our evil father is worthy of praise.","Es verdad. Sois una buena mujer, <CHARNAME>, y vuestra postura contra el mal está fuera de toda duda. Vuestra lucha contra la deshonra de nuestro malvado padre es digna de elogio."
"<CHARNAME> does not stand alone, Melissan. It is time that this is ended.","<CHARNAME> no está sóla, Melissan. Es hora de acabar con esto."
"The choice is your own. You know yourself better than I. I simply ask that you consider the life you might have led, the mortal life, had the taint never visited itself upon you back at Candlekeep. I look forward to my own.","La elección es vuestra. Os conocéis a vos misma mejor que yo. Yo sólo os pido que consideréis la vida que podríais haber llevado, una vida mortal, si la lacra no hubiera caido sobre vos cuando estábais en Candelero. Yo tengo ganas de vivir la mía."
"Well, well, well... if the Child of Bhaal hasn't gone and found <PRO_HIMHER>self a sense of humour. Did <PRO_HESHE> dig it up all by <PRO_HIMHER>self, dear brother, or did you implant it in <PRO_HIMHER> in one of your more bizarre experiments?","Bien, bien, bien... parece que el Hija de Bhaal ha encontrado su sentido del humor. ¿Lo desenterró sólo ella, querido hermano, o se lo implantástei en uno de vuestros extraños experimentos?"
Then let's get this over with. I'm tired of talking.,Entonces acabemos con esto. Estoy cansada de hablar.
"I would expect no other response from a true <PRO_BROTHERSISTER> of mine. I know too well the thirst for death that comes with the taint of our sire. I have mastered it, but only barely... I pity those who are a slave to it.","No esperaría otra cosa de una verdadera hermana mío. Conozco demasiado bien la sed de muerte que conlleva la mancha de nuestro padre. La he dominado, pero a duras penas... Compadezco a los que son esclavos de ella."
"Oh Child of Bhaal, you do bore me so with your talk. Come to me and embrace death as I have. Let the dance begin again!","Oh Hija de Bhaal, me aburrís con vuestra charla. Venid a mi y abrazad la muerte como yo he hecho. ¡Que el baile empiece de nuevo!"
"Very well, then, <CHARNAME>. I will join you. You are a worthy <PRO_MANWOMAN>. Perhaps even worthy of turning Bhaal's dark taint and making something better of it. I do not know. But I will take that chance.","Muy bien, <CHARNAME>. Me uniré a vos. Sois una mujer digna. Quizás incluso digna de convertir la lacra oscura de Bhaal en algo mejor. No lo sé. Pero correré el riesgo."
"Oh Child of Bhaal, such a game you play. You think to trick me, but I shall not be fooled so easily. I know you to be ever so desperate to do 'good' and this would not bode well for me. No, this ends here.","Oh Hija de Bhaal, ¿a qué estáis jugando?  Pretendéis engañarme, pero no me dejaré engañar tan fácilmente. Sé que siempre estáis desesperado por hacer el 'bien' y yo no saldría de esto bien parada. No, esto se acaba aquí."
